,Date.,arb_bayaoas_aguilarpang_00.07,Date.1,arb_camilingriver_mayantoctar_98.07,Date.2,aarb_naganriv_lunaapayao_00.10,Date.3,abrb_sinalangriv_lingsadpenarubia_00.03,Date.4,aarb_abulugriv_lukbancagayan,Date.5,crb_aligapay_quirino_01.09,Date.6,crb_benayriv_dupaxnv_06.10,Date.7,crb_buenavista_cagayanriver_isabela_00.05,Date.8,crb_jones_isabela_00.12,Date.9,Stream.Flow,Date.10,crb_dipantan_nagtipunan_quirino_00.08,Date.11,crb_magatriver_bagabagnuevavis_98.02,NA.,Date.12,crb_pinacuananriv_ilaganisabela_00.10,Date.13,crb_tugue_pinacuananriv_00.09,Date.14,crb_saltanriv_pinukpukkalinga_01.10,Date.15,crb_upi_cagayanriver_isabela_00.05,Date.16,prb_baliwagriv_stodomingonuevacija_00.06,Date.17,prb_arayat_pampriver_00-02,Date.18,prb_coronelriv_bongabonnuevaecija_00.04,NA.1,Date.19,prb_pobsanisidro_pampriver_00-05,Date.20,Stream.Flow1,Date.21,prb_riochico_zaragozanuevacija_00.06,Date.22,Stream.Flow2,mrb_stoninoriver_marikina_00-05
725,12/26/1999,175,12/26/1999,5000,12/26/1999,NA,12/26/1999,NA,12/26/1999,NA,12/26/1999,NA,12/26/1999,,12/26/1999,NA,12/26/1999,241100,12/26/1999,32550,12/26/1999,NA,12/26/1999,340000,NA,12/26/1999,NA,12/26/1999,20545,12/26/1999,NA,12/26/1999,1320900,12/26/1999,NA,12/26/1999,102000,12/26/1999,430850,NA,12/26/1999,NA,12/26/1999,NA,12/26/1999,54720,12/26/1999,NA,
726,12/27/1999,175,12/27/1999,4500,12/27/1999,NA,12/27/1999,NA,12/27/1999,NA,12/27/1999,NA,12/27/1999,,12/27/1999,NA,12/27/1999,237200,12/27/1999,36800,12/27/1999,NA,12/27/1999,336000,NA,12/27/1999,NA,12/27/1999,31890,12/27/1999,NA,12/27/1999,1290100,12/27/1999,NA,12/27/1999,99000,12/27/1999,464850,NA,12/27/1999,NA,12/27/1999,NA,12/27/1999,54420,12/27/1999,NA,
727,12/28/1999,175,12/28/1999,4200,12/28/1999,NA,12/28/1999,NA,12/28/1999,NA,12/28/1999,NA,12/28/1999,,12/28/1999,NA,12/28/1999,953000,12/28/1999,54350,12/28/1999,NA,12/28/1999,284000,NA,12/28/1999,NA,12/28/1999,674990,12/28/1999,NA,12/28/1999,1320900,12/28/1999,NA,12/28/1999,91700,12/28/1999,504250,NA,12/28/1999,NA,12/28/1999,NA,12/28/1999,54120,12/28/1999,NA,
728,12/29/1999,175,12/29/1999,3900,12/29/1999,NA,12/29/1999,NA,12/29/1999,NA,12/29/1999,NA,12/29/1999,,12/29/1999,NA,12/29/1999,571600,12/29/1999,41300,12/29/1999,NA,12/29/1999,212000,NA,12/29/1999,NA,12/29/1999,53990,12/29/1999,NA,12/29/1999,1416900,12/29/1999,NA,12/29/1999,102000,12/29/1999,504250,NA,12/29/1999,NA,12/29/1999,NA,12/29/1999,53820,12/29/1999,NA,
729,12/30/1999,175,12/30/1999,3600,12/30/1999,NA,12/30/1999,NA,12/30/1999,NA,12/30/1999,NA,12/30/1999,,12/30/1999,NA,12/30/1999,400900,12/30/1999,33400,12/30/1999,NA,12/30/1999,170000,NA,12/30/1999,NA,12/30/1999,18040,12/30/1999,NA,12/30/1999,1519000,12/30/1999,NA,12/30/1999,117900,12/30/1999,334250,NA,12/30/1999,NA,12/30/1999,NA,12/30/1999,53520,12/30/1999,NA,
730,12/31/1999,175,12/31/1999,3300,12/31/1999,NA,12/31/1999,NA,12/31/1999,NA,12/31/1999,NA,12/31/1999,,12/31/1999,NA,12/31/1999,245000,12/31/1999,28300,12/31/1999,NA,12/31/1999,122500,NA,12/31/1999,NA,12/31/1999,18040,12/31/1999,NA,12/31/1999,1313200,12/31/1999,NA,12/31/1999,93500,12/31/1999,366250,NA,12/31/1999,NA,12/31/1999,NA,12/31/1999,54720,12/31/1999,NA,
731,1/1/2000,NA,1/1/2000,3000,1/1/2000,NA,1/1/2000,7600,1/1/2000,NA,1/1/2000,NA,1/1/2000,,1/1/2000,NA,1/1/2000,307900,1/1/2000,26050,1/1/2000,208000,1/1/2000,162500,NA,1/1/2000,NA,1/1/2000,48800,1/1/2000,NA,1/1/2000,NA,1/1/2000,NA,1/1/2000,95300,1/1/2000,130250,NA,1/1/2000,NA,1/1/2000,NA,1/1/2000,12640,1/1/2000,NA,11780
732,1/2/2000,NA,1/2/2000,2700,1/2/2000,NA,1/2/2000,7600,1/2/2000,NA,1/2/2000,NA,1/2/2000,,1/2/2000,NA,1/2/2000,291500,1/2/2000,19500,1/2/2000,208000,1/2/2000,160000,NA,1/2/2000,NA,1/2/2000,46800,1/2/2000,NA,1/2/2000,NA,1/2/2000,NA,1/2/2000,89900,1/2/2000,130250,NA,1/2/2000,NA,1/2/2000,NA,1/2/2000,12880,1/2/2000,NA,8480
733,1/3/2000,NA,1/3/2000,3600,1/3/2000,NA,1/3/2000,7600,1/3/2000,NA,1/3/2000,NA,1/3/2000,,1/3/2000,NA,1/3/2000,283300,1/3/2000,19500,1/3/2000,154200,1/3/2000,175000,NA,1/3/2000,NA,1/3/2000,46800,1/3/2000,NA,1/3/2000,NA,1/3/2000,NA,1/3/2000,91700,1/3/2000,154250,NA,1/3/2000,NA,1/3/2000,NA,1/3/2000,10960,1/3/2000,NA,6780
734,1/4/2000,NA,1/4/2000,3300,1/4/2000,NA,1/4/2000,7600,1/4/2000,NA,1/4/2000,NA,1/4/2000,,1/4/2000,NA,1/4/2000,259000,1/4/2000,19500,1/4/2000,152000,1/4/2000,170000,NA,1/4/2000,NA,1/4/2000,46800,1/4/2000,NA,1/4/2000,NA,1/4/2000,NA,1/4/2000,92600,1/4/2000,154250,NA,1/4/2000,NA,1/4/2000,NA,1/4/2000,9400,1/4/2000,NA,8180
735,1/5/2000,NA,1/5/2000,6500,1/5/2000,NA,1/5/2000,7600,1/5/2000,NA,1/5/2000,NA,1/5/2000,,1/5/2000,NA,1/5/2000,231000,1/5/2000,16900,1/5/2000,149900,1/5/2000,167500,NA,1/5/2000,NA,1/5/2000,45800,1/5/2000,NA,1/5/2000,NA,1/5/2000,NA,1/5/2000,80200,1/5/2000,154250,NA,1/5/2000,NA,1/5/2000,NA,1/5/2000,8000,1/5/2000,NA,8180
736,1/6/2000,NA,1/6/2000,5000,1/6/2000,NA,1/6/2000,7600,1/6/2000,NA,1/6/2000,NA,1/6/2000,,1/6/2000,NA,1/6/2000,211500,1/6/2000,16900,1/6/2000,147800,1/6/2000,157500,NA,1/6/2000,NA,1/6/2000,46800,1/6/2000,NA,1/6/2000,NA,1/6/2000,NA,1/6/2000,81000,1/6/2000,130250,NA,1/6/2000,NA,1/6/2000,NA,1/6/2000,6800,1/6/2000,NA,5980
737,1/7/2000,NA,1/7/2000,4500,1/7/2000,NA,1/7/2000,7600,1/7/2000,NA,1/7/2000,NA,1/7/2000,,1/7/2000,NA,1/7/2000,203700,1/7/2000,16250,1/7/2000,139400,1/7/2000,150000,NA,1/7/2000,NA,1/7/2000,46800,1/7/2000,NA,1/7/2000,NA,1/7/2000,NA,1/7/2000,77000,1/7/2000,130250,NA,1/7/2000,NA,1/7/2000,NA,1/7/2000,6800,1/7/2000,NA,5780
738,1/8/2000,NA,1/8/2000,4200,1/8/2000,NA,1/8/2000,8000,1/8/2000,NA,1/8/2000,NA,1/8/2000,,1/8/2000,NA,1/8/2000,192000,1/8/2000,13750,1/8/2000,141500,1/8/2000,150000,NA,1/8/2000,NA,1/8/2000,45800,1/8/2000,NA,1/8/2000,NA,1/8/2000,NA,1/8/2000,74600,1/8/2000,130250,NA,1/8/2000,NA,1/8/2000,NA,1/8/2000,8000,1/8/2000,NA,5780
739,1/9/2000,NA,1/9/2000,3900,1/9/2000,NA,1/9/2000,7800,1/9/2000,NA,1/9/2000,NA,1/9/2000,,1/9/2000,NA,1/9/2000,312000,1/9/2000,12650,1/9/2000,152000,1/9/2000,172500,NA,1/9/2000,NA,1/9/2000,45800,1/9/2000,NA,1/9/2000,NA,1/9/2000,NA,1/9/2000,71600,1/9/2000,70250,NA,1/9/2000,NA,1/9/2000,NA,1/9/2000,9600,1/9/2000,NA,5780
740,1/10/2000,NA,1/10/2000,4500,1/10/2000,NA,1/10/2000,8000,1/10/2000,NA,1/10/2000,NA,1/10/2000,,1/10/2000,NA,1/10/2000,223200,1/10/2000,12100,1/10/2000,152000,1/10/2000,147500,NA,1/10/2000,NA,1/10/2000,44800,1/10/2000,NA,1/10/2000,NA,1/10/2000,NA,1/10/2000,79400,1/10/2000,70250,NA,1/10/2000,NA,1/10/2000,NA,1/10/2000,12880,1/10/2000,NA,5780
741,1/11/2000,NA,1/11/2000,4200,1/11/2000,NA,1/11/2000,7800,1/11/2000,NA,1/11/2000,NA,1/11/2000,,1/11/2000,NA,1/11/2000,199800,1/11/2000,11000,1/11/2000,143600,1/11/2000,140000,NA,1/11/2000,NA,1/11/2000,42800,1/11/2000,NA,1/11/2000,NA,1/11/2000,NA,1/11/2000,79400,1/11/2000,70250,NA,1/11/2000,NA,1/11/2000,NA,1/11/2000,10960,1/11/2000,NA,5780
742,1/12/2000,NA,1/12/2000,3900,1/12/2000,NA,1/12/2000,7600,1/12/2000,NA,1/12/2000,NA,1/12/2000,,1/12/2000,NA,1/12/2000,195900,1/12/2000,9900,1/12/2000,139400,1/12/2000,140000,NA,1/12/2000,NA,1/12/2000,38800,1/12/2000,NA,1/12/2000,NA,1/12/2000,NA,1/12/2000,85800,1/12/2000,70250,NA,1/12/2000,NA,1/12/2000,NA,1/12/2000,13360,1/12/2000,NA,5980
743,1/13/2000,NA,1/13/2000,3600,1/13/2000,NA,1/13/2000,7600,1/13/2000,NA,1/13/2000,NA,1/13/2000,,1/13/2000,NA,1/13/2000,165400,1/13/2000,8375,1/13/2000,135200,1/13/2000,127500,NA,1/13/2000,NA,1/13/2000,37950,1/13/2000,NA,1/13/2000,NA,1/13/2000,NA,1/13/2000,91700,1/13/2000,70250,NA,1/13/2000,NA,1/13/2000,NA,1/13/2000,12400,1/13/2000,NA,6180
744,1/14/2000,NA,1/14/2000,3300,1/14/2000,NA,1/14/2000,7600,1/14/2000,NA,1/14/2000,NA,1/14/2000,,1/14/2000,NA,1/14/2000,111000,1/14/2000,7950,1/14/2000,131000,1/14/2000,127500,NA,1/14/2000,NA,1/14/2000,37100,1/14/2000,NA,1/14/2000,NA,1/14/2000,NA,1/14/2000,90800,1/14/2000,17250,NA,1/14/2000,NA,1/14/2000,NA,1/14/2000,9600,1/14/2000,NA,6380
745,1/15/2000,NA,1/15/2000,3000,1/15/2000,NA,1/15/2000,7600,1/15/2000,NA,1/15/2000,NA,1/15/2000,,1/15/2000,NA,1/15/2000,97000,1/15/2000,7100,1/15/2000,129000,1/15/2000,125000,NA,1/15/2000,NA,1/15/2000,36250,1/15/2000,NA,1/15/2000,NA,1/15/2000,NA,1/15/2000,96200,1/15/2000,17250,NA,1/15/2000,NA,1/15/2000,NA,1/15/2000,9200,1/15/2000,NA,6580
746,1/16/2000,NA,1/16/2000,2400,1/16/2000,NA,1/16/2000,7600,1/16/2000,NA,1/16/2000,NA,1/16/2000,,1/16/2000,NA,1/16/2000,97000,1/16/2000,6675,1/16/2000,131000,1/16/2000,123000,NA,1/16/2000,NA,1/16/2000,44800,1/16/2000,NA,1/16/2000,NA,1/16/2000,NA,1/16/2000,98000,1/16/2000,130250,NA,1/16/2000,NA,1/16/2000,NA,1/16/2000,10480,1/16/2000,NA,6780
747,1/17/2000,NA,1/17/2000,4500,1/17/2000,NA,1/17/2000,7600,1/17/2000,NA,1/17/2000,NA,1/17/2000,,1/17/2000,NA,1/17/2000,111000,1/17/2000,6250,1/17/2000,131000,1/17/2000,121000,NA,1/17/2000,NA,1/17/2000,34550,1/17/2000,NA,1/17/2000,NA,1/17/2000,NA,1/17/2000,81000,1/17/2000,130250,NA,1/17/2000,NA,1/17/2000,NA,1/17/2000,11920,1/17/2000,NA,6980
748,1/18/2000,NA,1/18/2000,4200,1/18/2000,NA,1/18/2000,7400,1/18/2000,NA,1/18/2000,NA,1/18/2000,,1/18/2000,NA,1/18/2000,136000,1/18/2000,5825,1/18/2000,131000,1/18/2000,119000,NA,1/18/2000,NA,1/18/2000,33700,1/18/2000,NA,1/18/2000,NA,1/18/2000,NA,1/18/2000,84200,1/18/2000,130250,NA,1/18/2000,NA,1/18/2000,NA,1/18/2000,13360,1/18/2000,NA,7180
749,1/19/2000,NA,1/19/2000,3600,1/19/2000,NA,1/19/2000,7400,1/19/2000,NA,1/19/2000,NA,1/19/2000,,1/19/2000,NA,1/19/2000,157800,1/19/2000,4975,1/19/2000,127000,1/19/2000,115000,NA,1/19/2000,NA,1/19/2000,33700,1/19/2000,NA,1/19/2000,NA,1/19/2000,NA,1/19/2000,81000,1/19/2000,130250,NA,1/19/2000,NA,1/19/2000,NA,1/19/2000,15100,1/19/2000,NA,7380
750,1/20/2000,NA,1/20/2000,3300,1/20/2000,NA,1/20/2000,7200,1/20/2000,NA,1/20/2000,NA,1/20/2000,,1/20/2000,NA,1/20/2000,211500,1/20/2000,NA,1/20/2000,125000,1/20/2000,113000,NA,1/20/2000,NA,1/20/2000,33700,1/20/2000,NA,1/20/2000,NA,1/20/2000,NA,1/20/2000,84200,1/20/2000,130250,NA,1/20/2000,NA,1/20/2000,NA,1/20/2000,15100,1/20/2000,NA,5480
751,1/21/2000,NA,1/21/2000,3000,1/21/2000,NA,1/21/2000,7200,1/21/2000,NA,1/21/2000,NA,1/21/2000,,1/21/2000,NA,1/21/2000,452400,1/21/2000,13750,1/21/2000,123000,1/21/2000,182500,NA,1/21/2000,NA,1/21/2000,108800,1/21/2000,NA,1/21/2000,NA,1/21/2000,NA,1/21/2000,78600,1/21/2000,180250,NA,1/21/2000,NA,1/21/2000,NA,1/21/2000,16000,1/21/2000,NA,5580
752,1/22/2000,NA,1/22/2000,2400,1/22/2000,NA,1/22/2000,7200,1/22/2000,NA,1/22/2000,NA,1/22/2000,,1/22/2000,NA,1/22/2000,792000,1/22/2000,12100,1/22/2000,119000,1/22/2000,180000,NA,1/22/2000,NA,1/22/2000,137900,1/22/2000,NA,1/22/2000,NA,1/22/2000,NA,1/22/2000,336000,1/22/2000,180250,NA,1/22/2000,NA,1/22/2000,NA,1/22/2000,16600,1/22/2000,NA,5580
753,1/23/2000,NA,1/23/2000,3000,1/23/2000,NA,1/23/2000,7200,1/23/2000,NA,1/23/2000,NA,1/23/2000,,1/23/2000,NA,1/23/2000,594000,1/23/2000,9350,1/23/2000,119000,1/23/2000,155000,NA,1/23/2000,NA,1/23/2000,83320,1/23/2000,NA,1/23/2000,NA,1/23/2000,NA,1/23/2000,583600,1/23/2000,434250,NA,1/23/2000,NA,1/23/2000,NA,1/23/2000,19000,1/23/2000,NA,5780
754,1/24/2000,NA,1/24/2000,1500,1/24/2000,NA,1/24/2000,7200,1/24/2000,NA,1/24/2000,NA,1/24/2000,,1/24/2000,NA,1/24/2000,371200,1/24/2000,7100,1/24/2000,115000,1/24/2000,150000,NA,1/24/2000,NA,1/24/2000,68350,1/24/2000,NA,1/24/2000,NA,1/24/2000,NA,1/24/2000,305400,1/24/2000,504250,NA,1/24/2000,NA,1/24/2000,NA,1/24/2000,19000,1/24/2000,NA,5780
755,1/25/2000,NA,1/25/2000,1500,1/25/2000,NA,1/25/2000,8200,1/25/2000,NA,1/25/2000,NA,1/25/2000,,1/25/2000,NA,1/25/2000,207600,1/25/2000,5825,1/25/2000,105600,1/25/2000,119000,NA,1/25/2000,NA,1/25/2000,60300,1/25/2000,NA,1/25/2000,NA,1/25/2000,NA,1/25/2000,195600,1/25/2000,504250,NA,1/25/2000,NA,1/25/2000,NA,1/25/2000,16600,1/25/2000,NA,5980
756,1/26/2000,NA,1/26/2000,1800,1/26/2000,NA,1/26/2000,8200,1/26/2000,NA,1/26/2000,NA,1/26/2000,,1/26/2000,NA,1/26/2000,255000,1/26/2000,6250,1/26/2000,98400,1/26/2000,82400,NA,1/26/2000,NA,1/26/2000,54550,1/26/2000,NA,1/26/2000,NA,1/26/2000,NA,1/26/2000,144300,1/26/2000,540250,NA,1/26/2000,NA,1/26/2000,NA,1/26/2000,14080,1/26/2000,NA,5980
757,1/27/2000,NA,1/27/2000,2100,1/27/2000,NA,1/27/2000,7800,1/27/2000,NA,1/27/2000,NA,1/27/2000,,1/27/2000,NA,1/27/2000,354000,1/27/2000,18850,1/27/2000,89800,1/27/2000,103100,NA,1/27/2000,NA,1/27/2000,52250,1/27/2000,NA,1/27/2000,NA,1/27/2000,NA,1/27/2000,105000,1/27/2000,540250,NA,1/27/2000,NA,1/27/2000,NA,1/27/2000,12160,1/27/2000,NA,6180
758,1/28/2000,NA,1/28/2000,7000,1/28/2000,NA,1/28/2000,7800,1/28/2000,NA,1/28/2000,NA,1/28/2000,,1/28/2000,NA,1/28/2000,379800,1/28/2000,18200,1/28/2000,85000,1/28/2000,109000,NA,1/28/2000,NA,1/28/2000,54550,1/28/2000,NA,1/28/2000,NA,1/28/2000,NA,1/28/2000,112400,1/28/2000,540250,NA,1/28/2000,NA,1/28/2000,NA,1/28/2000,13840,1/28/2000,NA,4880
759,1/29/2000,NA,1/29/2000,5500,1/29/2000,NA,1/29/2000,7800,1/29/2000,NA,1/29/2000,NA,1/29/2000,,1/29/2000,NA,1/29/2000,345600,1/29/2000,12650,1/29/2000,80200,1/29/2000,105000,NA,1/29/2000,NA,1/29/2000,53400,1/29/2000,NA,1/29/2000,NA,1/29/2000,NA,1/29/2000,92600,1/29/2000,180250,NA,1/29/2000,NA,1/29/2000,NA,1/29/2000,17800,1/29/2000,NA,4980
760,1/30/2000,NA,1/30/2000,5000,1/30/2000,NA,1/30/2000,7800,1/30/2000,NA,1/30/2000,NA,1/30/2000,,1/30/2000,NA,1/30/2000,324600,1/30/2000,9900,1/30/2000,78600,1/30/2000,103100,NA,1/30/2000,NA,1/30/2000,52250,1/30/2000,NA,1/30/2000,NA,1/30/2000,NA,1/30/2000,82600,1/30/2000,154250,NA,1/30/2000,NA,1/30/2000,NA,1/30/2000,21100,1/30/2000,NA,4980
761,1/31/2000,NA,1/31/2000,4500,1/31/2000,NA,1/31/2000,7800,1/31/2000,NA,1/31/2000,NA,1/31/2000,,1/31/2000,NA,1/31/2000,307900,1/31/2000,9900,1/31/2000,77000,1/31/2000,107000,NA,1/31/2000,NA,1/31/2000,51100,1/31/2000,NA,1/31/2000,NA,1/31/2000,NA,1/31/2000,71600,1/31/2000,70250,NA,1/31/2000,NA,1/31/2000,NA,1/31/2000,26200,1/31/2000,NA,5080
762,2/1/2000,NA,2/1/2000,3300,2/1/2000,NA,2/1/2000,2850,2/1/2000,NA,2/1/2000,NA,2/1/2000,,2/1/2000,NA,2/1/2000,287400,2/1/2000,9900,2/1/2000,77000,2/1/2000,111000,NA,2/1/2000,NA,2/1/2000,53400,2/1/2000,NA,2/1/2000,NA,2/1/2000,NA,2/1/2000,63900,2/1/2000,70250,NA,2/1/2000,NA,2/1/2000,NA,2/1/2000,28000,2/1/2000,NA,5080
763,2/2/2000,NA,2/2/2000,3000,2/2/2000,NA,2/2/2000,2850,2/2/2000,NA,2/2/2000,NA,2/2/2000,,2/2/2000,NA,2/2/2000,267000,2/2/2000,10450,2/2/2000,77000,2/2/2000,115000,NA,2/2/2000,NA,2/2/2000,51100,2/2/2000,NA,2/2/2000,NA,2/2/2000,NA,2/2/2000,61100,2/2/2000,180250,NA,2/2/2000,NA,2/2/2000,NA,2/2/2000,32040,2/2/2000,NA,5180
764,2/3/2000,NA,2/3/2000,3000,2/3/2000,NA,2/3/2000,2850,2/3/2000,NA,2/3/2000,NA,2/3/2000,,2/3/2000,NA,2/3/2000,291500,2/3/2000,9900,2/3/2000,77000,2/3/2000,119000,NA,2/3/2000,NA,2/3/2000,51100,2/3/2000,NA,2/3/2000,NA,2/3/2000,NA,2/3/2000,92600,2/3/2000,180250,NA,2/3/2000,NA,2/3/2000,NA,2/3/2000,37160,2/3/2000,NA,5180
765,2/4/2000,NA,2/4/2000,2700,2/4/2000,NA,2/4/2000,2850,2/4/2000,NA,2/4/2000,NA,2/4/2000,,2/4/2000,NA,2/4/2000,643400,2/4/2000,20150,2/4/2000,295600,2/4/2000,137500,NA,2/4/2000,NA,2/4/2000,88800,2/4/2000,NA,2/4/2000,NA,2/4/2000,NA,2/4/2000,99000,2/4/2000,334250,NA,2/4/2000,NA,2/4/2000,NA,2/4/2000,41320,2/4/2000,NA,5280
766,2/5/2000,NA,2/5/2000,2700,2/5/2000,NA,2/5/2000,2755,2/5/2000,NA,2/5/2000,NA,2/5/2000,,2/5/2000,NA,2/5/2000,1272500,2/5/2000,44000,2/5/2000,429300,2/5/2000,175000,NA,2/5/2000,NA,2/5/2000,74360,2/5/2000,NA,2/5/2000,NA,2/5/2000,NA,2/5/2000,305400,2/5/2000,334250,NA,2/5/2000,NA,2/5/2000,NA,2/5/2000,46480,2/5/2000,NA,5280
767,2/6/2000,NA,2/6/2000,2400,2/6/2000,NA,2/6/2000,2850,2/6/2000,NA,2/6/2000,NA,2/6/2000,,2/6/2000,NA,2/6/2000,2557000,2/6/2000,64300,2/6/2000,528000,2/6/2000,365000,NA,2/6/2000,NA,2/6/2000,493200,2/6/2000,NA,2/6/2000,NA,2/6/2000,NA,2/6/2000,726500,2/6/2000,504250,NA,2/6/2000,NA,2/6/2000,NA,2/6/2000,52260,2/6/2000,NA,5280
768,2/7/2000,NA,2/7/2000,8500,2/7/2000,NA,2/7/2000,2660,2/7/2000,NA,2/7/2000,NA,2/7/2000,,2/7/2000,NA,2/7/2000,1272500,2/7/2000,44900,2/7/2000,387800,2/7/2000,245000,NA,2/7/2000,NA,2/7/2000,142500,2/7/2000,NA,2/7/2000,NA,2/7/2000,NA,2/7/2000,921800,2/7/2000,434250,NA,2/7/2000,NA,2/7/2000,NA,2/7/2000,62800,2/7/2000,NA,5280
769,2/8/2000,NA,2/8/2000,7000,2/8/2000,NA,2/8/2000,2755,2/8/2000,NA,2/8/2000,NA,2/8/2000,,2/8/2000,NA,2/8/2000,826000,2/8/2000,26050,2/8/2000,238600,2/8/2000,217500,NA,2/8/2000,NA,2/8/2000,90200,2/8/2000,NA,2/8/2000,NA,2/8/2000,NA,2/8/2000,792000,2/8/2000,334250,NA,2/8/2000,NA,2/8/2000,NA,2/8/2000,77560,2/8/2000,NA,5380
770,2/9/2000,NA,2/9/2000,5500,2/9/2000,NA,2/9/2000,2120,2/9/2000,NA,2/9/2000,NA,2/9/2000,,2/9/2000,NA,2/9/2000,612400,2/9/2000,26050,2/9/2000,143600,2/9/2000,197500,NA,2/9/2000,NA,2/9/2000,71800,2/9/2000,NA,2/9/2000,NA,2/9/2000,NA,2/9/2000,759000,2/9/2000,302250,NA,2/9/2000,NA,2/9/2000,NA,2/9/2000,84220,2/9/2000,NA,5380
771,2/10/2000,NA,2/10/2000,4500,2/10/2000,NA,2/10/2000,1980,2/10/2000,NA,2/10/2000,NA,2/10/2000,,2/10/2000,NA,2/10/2000,510000,2/10/2000,20800,2/10/2000,143600,2/10/2000,187500,NA,2/10/2000,NA,2/10/2000,58000,2/10/2000,NA,2/10/2000,NA,2/10/2000,NA,2/10/2000,510000,2/10/2000,302250,NA,2/10/2000,NA,2/10/2000,NA,2/10/2000,75040,2/10/2000,NA,5480
772,2/11/2000,NA,2/11/2000,4200,2/11/2000,NA,2/11/2000,1910,2/11/2000,NA,2/11/2000,NA,2/11/2000,,2/11/2000,NA,2/11/2000,354000,2/11/2000,14300,2/11/2000,127000,2/11/2000,170000,NA,2/11/2000,NA,2/11/2000,49950,2/11/2000,NA,2/11/2000,NA,2/11/2000,NA,2/11/2000,385400,2/11/2000,302250,NA,2/11/2000,NA,2/11/2000,NA,2/11/2000,61780,2/11/2000,NA,5480
773,2/12/2000,NA,2/12/2000,3900,2/12/2000,NA,2/12/2000,1980,2/12/2000,NA,2/12/2000,NA,2/12/2000,,2/12/2000,NA,2/12/2000,307900,2/12/2000,13750,2/12/2000,113000,2/12/2000,157500,NA,2/12/2000,NA,2/12/2000,45800,2/12/2000,NA,2/12/2000,NA,2/12/2000,NA,2/12/2000,305400,2/12/2000,270250,NA,2/12/2000,NA,2/12/2000,NA,2/12/2000,50220,2/12/2000,NA,5480
774,2/13/2000,NA,2/13/2000,3600,2/13/2000,NA,2/13/2000,1910,2/13/2000,NA,2/13/2000,NA,2/13/2000,,2/13/2000,NA,2/13/2000,279200,2/13/2000,13750,2/13/2000,107400,2/13/2000,157500,NA,2/13/2000,NA,2/13/2000,44800,2/13/2000,NA,2/13/2000,NA,2/13/2000,NA,2/13/2000,243000,2/13/2000,270250,NA,2/13/2000,NA,2/13/2000,NA,2/13/2000,38120,2/13/2000,NA,5580
775,2/14/2000,NA,2/14/2000,3300,2/14/2000,NA,2/14/2000,1720,2/14/2000,NA,2/14/2000,NA,2/14/2000,,2/14/2000,NA,2/14/2000,243000,2/14/2000,12650,2/14/2000,94800,2/14/2000,147500,NA,2/14/2000,NA,2/14/2000,43800,2/14/2000,NA,2/14/2000,NA,2/14/2000,NA,2/14/2000,194200,2/14/2000,238250,NA,2/14/2000,NA,2/14/2000,NA,2/14/2000,28000,2/14/2000,NA,4680
776,2/15/2000,NA,2/15/2000,3000,2/15/2000,NA,2/15/2000,1720,2/15/2000,NA,2/15/2000,NA,2/15/2000,,2/15/2000,NA,2/15/2000,231000,2/15/2000,12100,2/15/2000,81800,2/15/2000,140000,NA,2/15/2000,NA,2/15/2000,42800,2/15/2000,NA,2/15/2000,NA,2/15/2000,NA,2/15/2000,133400,2/15/2000,180250,NA,2/15/2000,NA,2/15/2000,NA,2/15/2000,19000,2/15/2000,NA,4680
777,2/16/2000,NA,2/16/2000,2700,2/16/2000,NA,2/16/2000,1620,2/16/2000,NA,2/16/2000,NA,2/16/2000,,2/16/2000,NA,2/16/2000,235000,2/16/2000,11550,2/16/2000,81800,2/16/2000,135000,NA,2/16/2000,NA,2/16/2000,53400,2/16/2000,NA,2/16/2000,NA,2/16/2000,NA,2/16/2000,108000,2/16/2000,180250,NA,2/16/2000,NA,2/16/2000,NA,2/16/2000,10960,2/16/2000,NA,4680
778,2/17/2000,NA,2/17/2000,2400,2/17/2000,NA,2/17/2000,1520,2/17/2000,NA,2/17/2000,NA,2/17/2000,,2/17/2000,NA,2/17/2000,235000,2/17/2000,9350,2/17/2000,80200,2/17/2000,132500,NA,2/17/2000,NA,2/17/2000,39800,2/17/2000,NA,2/17/2000,NA,2/17/2000,NA,2/17/2000,112400,2/17/2000,180250,NA,2/17/2000,NA,2/17/2000,NA,2/17/2000,6600,2/17/2000,NA,4780
779,2/18/2000,NA,2/18/2000,9500,2/18/2000,NA,2/18/2000,1520,2/18/2000,NA,2/18/2000,NA,2/18/2000,,2/18/2000,NA,2/18/2000,231000,2/18/2000,9350,2/18/2000,78600,2/18/2000,127500,NA,2/18/2000,NA,2/18/2000,37950,2/18/2000,NA,2/18/2000,NA,2/18/2000,NA,2/18/2000,107000,2/18/2000,208250,NA,2/18/2000,NA,2/18/2000,NA,2/18/2000,6200,2/18/2000,NA,4780
780,2/19/2000,NA,2/19/2000,9000,2/19/2000,NA,2/19/2000,1520,2/19/2000,NA,2/19/2000,NA,2/19/2000,,2/19/2000,NA,2/19/2000,211500,2/19/2000,9900,2/19/2000,70000,2/19/2000,121000,NA,2/19/2000,NA,2/19/2000,37950,2/19/2000,NA,2/19/2000,NA,2/19/2000,NA,2/19/2000,111300,2/19/2000,238250,NA,2/19/2000,NA,2/19/2000,NA,2/19/2000,6400,2/19/2000,NA,4780
